,성별,확진자 수,사망자 수,날짜,날짜_dt
175,남성,13844188,16190.0,2023-01-17,2023-01-17
176,여성,15994771,16813.0,2023-01-16,2023-01-16
177,남성,13826264,16171.0,2023-01-16,2023-01-16
178,여성,15987072,16795.0,2023-01-15,2023-01-15
179,남성,13819819,16154.0,2023-01-15,2023-01-15
180,여성,15968727,16781.0,2023-01-14,2023-01-14
181,남성,13805594,16131.0,2023-01-14,2023-01-14
182,여성,15968727,16781.0,2023-01-14,2023-01-14
183,남성,13805594,16131.0,2023-01-14,2023-01-14
184,여성,15948584,16764.0,2023-01-13,2023-01-13
185,남성,13789185,16103.0,2023-01-13,2023-01-13
186,여성,15926351,16739.0,2023-01-12,2023-01-12
187,남성,13771692,16082.0,2023-01-12,2023-01-12
188,여성,15901770,16703.0,2023-01-11,2023-01-11
189,남성,13752320,16042.0,2023-01-11,2023-01-11
190,여성,15871678,16655.0,2023-01-10,2023-01-10
191,남성,13728069,16014.0,2023-01-10,2023-01-10
192,여성,15838740,16632.0,2023-01-09,2023-01-09
193,남성,13700966,15993.0,2023-01-09,2023-01-09
194,여성,15828599,16616.0,2023-01-08,2023-01-08
195,남성,13692001,15974.0,2023-01-08,2023-01-08
196,여성,15802574,16594.0,2023-01-07,2023-01-07
197,남성,13671260,15962.0,2023-01-07,2023-01-07
198,여성,15772525,16562.0,2023-01-06,2023-01-06
199,남성,13647701,15934.0,2023-01-06,2023-01-06
200,여성,15740498,16534.0,2023-01-05,2023-01-05
201,남성,13622774,15887.0,2023-01-05,2023-01-05
202,여성,15704548,16504.0,2023-01-04,2023-01-04
203,남성,13594618,15851.0,2023-01-04,2023-01-04
204,여성,15660950,16472.0,2023-01-03,2023-01-03
205,남성,13559641,15829.0,2023-01-03,2023-01-03
206,여성,15616511,16456.0,2023-01-02,2023-01-02
207,남성,13523024,15816.0,2023-01-02,2023-01-02
208,여성,15604371,16428.0,2023-01-01,2023-01-01
209,남성,13512429,15791.0,2023-01-01,2023-01-01
210,여성,15572296,16397.0,2022-12-31,2022-12-31
211,남성,13486977,15759.0,2022-12-31,2022-12-31
212,여성,15536838,16364.0,2022-12-30,2022-12-30
213,남성,13459509,15731.0,2022-12-30,2022-12-30
214,여성,15499865,16342.0,2022-12-29,2022-12-29
215,남성,13431275,15685.0,2022-12-29,2022-12-29
216,여성,15459709,16304.0,2022-12-28,2022-12-28
217,남성,13400004,15647.0,2022-12-28,2022-12-28
218,여성,15410586,16271.0,2022-12-27,2022-12-27
219,남성,13361610,15611.0,2022-12-27,2022-12-27
220,여성,15362320,16254.0,2022-12-26,2022-12-26
221,남성,13322280,15578.0,2022-12-26,2022-12-26
222,여성,15348613,16236.0,2022-12-25,2022-12-25
223,남성,13310442,15554.0,2022-12-25,2022-12-25
224,여성,15316094,16210.0,2022-12-24,2022-12-24
225,남성,13284513,15534.0,2022-12-24,2022-12-24
226,여성,15279131,16179.0,2022-12-23,2022-12-23
227,남성,13255427,15495.0,2022-12-23,2022-12-23
228,여성,15241342,16149.0,2022-12-22,2022-12-22
229,남성,13225048,15462.0,2022-12-22,2022-12-22
230,여성,15199489,16119.0,2022-12-21,2022-12-21
231,남성,13191157,15430.0,2022-12-21,2022-12-21
232,여성,15150811,16086.0,2022-12-20,2022-12-20
233,남성,13151663,15404.0,2022-12-20,2022-12-20
234,여성,15103457,16058.0,2022-12-19,2022-12-19
235,남성,13111458,15376.0,2022-12-19,2022-12-19
236,여성,15089268,16044.0,2022-12-18,2022-12-18
237,남성,13099025,15351.0,2022-12-18,2022-12-18
238,여성,15056390,16023.0,2022-12-17,2022-12-17
239,남성,13073041,15330.0,2022-12-17,2022-12-17
240,여성,15019433,15992.0,2022-12-16,2022-12-16
241,남성,13043246,15306.0,2022-12-16,2022-12-16
242,여성,14981904,15955.0,2022-12-15,2022-12-15
243,남성,13013822,15277.0,2022-12-15,2022-12-15
244,여성,14942710,15932.0,2022-12-14,2022-12-14
245,남성,12982862,15242.0,2022-12-14,2022-12-14
