,나이,확진자 수,사망자 수,날짜,날짜_dt
4508,80대 이상,13126,1713.0,2021-11-25,2021-11-25
4509,10대 미만,26412,0.0,2021-11-24,2021-11-24
4510,10대,41321,0.0,2021-11-24,2021-11-24
4511,20대,74279,12.0,2021-11-24,2021-11-24
4512,30대,65811,25.0,2021-11-24,2021-11-24
4513,40대,65145,48.0,2021-11-24,2021-11-24
4514,50대,64335,196.0,2021-11-24,2021-11-24
4515,60대,52177,484.0,2021-11-24,2021-11-24
4516,70대,22649,900.0,2021-11-24,2021-11-24
4517,80대 이상,12935,1697.0,2021-11-24,2021-11-24
4518,10대 미만,26113,0.0,2021-11-23,2021-11-23
4519,10대,40931,0.0,2021-11-23,2021-11-23
4520,20대,73917,12.0,2021-11-23,2021-11-23
4521,30대,65281,25.0,2021-11-23,2021-11-23
4522,40대,64658,48.0,2021-11-23,2021-11-23
4523,50대,63770,196.0,2021-11-23,2021-11-23
4524,60대,51304,481.0,2021-11-23,2021-11-23
4525,70대,22240,890.0,2021-11-23,2021-11-23
4526,80대 이상,12736,1676.0,2021-11-23,2021-11-23
4527,10대 미만,25824,0.0,2021-11-22,2021-11-22
4528,10대,40645,0.0,2021-11-22,2021-11-22
4529,20대,73680,12.0,2021-11-22,2021-11-22
4530,30대,64939,25.0,2021-11-22,2021-11-22
4531,40대,64331,48.0,2021-11-22,2021-11-22
4532,50대,63432,196.0,2021-11-22,2021-11-22
4533,60대,50784,476.0,2021-11-22,2021-11-22
4534,70대,22004,885.0,2021-11-22,2021-11-22
4535,80대 이상,12613,1656.0,2021-11-22,2021-11-22
4536,10대 미만,25560,0.0,2021-11-21,2021-11-21
4537,10대,40317,0.0,2021-11-21,2021-11-21
4538,20대,73410,12.0,2021-11-21,2021-11-21
4539,30대,64577,25.0,2021-11-21,2021-11-21
4540,40대,64013,47.0,2021-11-21,2021-11-21
4541,50대,63084,194.0,2021-11-21,2021-11-21
4542,60대,50258,473.0,2021-11-21,2021-11-21
4543,70대,21734,878.0,2021-11-21,2021-11-21
4544,80대 이상,12472,1645.0,2021-11-21,2021-11-21
4545,10대 미만,25253,0.0,2021-11-20,2021-11-20
4546,10대,40026,0.0,2021-11-20,2021-11-20
4547,20대,73148,12.0,2021-11-20,2021-11-20
4548,30대,64206,25.0,2021-11-20,2021-11-20
4549,40대,63667,47.0,2021-11-20,2021-11-20
4550,50대,62679,194.0,2021-11-20,2021-11-20
4551,60대,49639,469.0,2021-11-20,2021-11-20
4552,70대,21429,873.0,2021-11-20,2021-11-20
4553,80대 이상,12264,1624.0,2021-11-20,2021-11-20
4554,10대 미만,24975,0.0,2021-11-19,2021-11-19
4555,10대,39645,0.0,2021-11-19,2021-11-19
4556,20대,72891,12.0,2021-11-19,2021-11-19
4557,30대,63857,25.0,2021-11-19,2021-11-19
4558,40대,63254,47.0,2021-11-19,2021-11-19
4559,50대,62255,192.0,2021-11-19,2021-11-19
4560,60대,49043,464.0,2021-11-19,2021-11-19
4561,70대,21097,861.0,2021-11-19,2021-11-19
4562,80대 이상,12082,1614.0,2021-11-19,2021-11-19
4563,10대 미만,24755,0.0,2021-11-18,2021-11-18
4564,10대,39311,0.0,2021-11-18,2021-11-18
4565,20대,72611,12.0,2021-11-18,2021-11-18
4566,30대,63508,25.0,2021-11-18,2021-11-18
4567,40대,62907,46.0,2021-11-18,2021-11-18
4568,50대,61860,191.0,2021-11-18,2021-11-18
4569,60대,48426,460.0,2021-11-18,2021-11-18
4570,70대,20778,854.0,2021-11-18,2021-11-18
4571,80대 이상,11909,1599.0,2021-11-18,2021-11-18
4572,10대 미만,24060,0.0,2021-11-15,2021-11-15
4573,10대,38256,0.0,2021-11-15,2021-11-15
4574,20대,71874,12.0,2021-11-15,2021-11-15
4575,30대,62504,25.0,2021-11-15,2021-11-15
4576,40대,61890,46.0,2021-11-15,2021-11-15
4577,50대,60771,187.0,2021-11-15,2021-11-15
4578,60대,46841,455.0,2021-11-15,2021-11-15
4579,70대,19890,831.0,2021-11-15,2021-11-15
4580,80대 이상,11380,1559.0,2021-11-15,2021-11-15
4581,10대 미만,23875,0.0,2021-11-14,2021-11-14
4582,10대,38033,0.0,2021-11-14,2021-11-14
4583,20대,71736,12.0,2021-11-14,2021-11-14
4584,30대,62301,25.0,2021-11-14,2021-11-14
4585,40대,61636,46.0,2021-11-14,2021-11-14
4586,50대,60503,186.0,2021-11-14,2021-11-14
4587,60대,46451,453.0,2021-11-14,2021-11-14
4588,70대,19687,827.0,2021-11-14,2021-11-14
4589,80대 이상,11238,1554.0,2021-11-14,2021-11-14
4590,10대 미만,23676,0.0,2021-11-13,2021-11-13
4591,10대,37786,0.0,2021-11-13,2021-11-13
4592,20대,71528,12.0,2021-11-13,2021-11-13
4593,30대,62043,25.0,2021-11-13,2021-11-13
4594,40대,61363,46.0,2021-11-13,2021-11-13
4595,50대,60170,186.0,2021-11-13,2021-11-13
4596,60대,45975,449.0,2021-11-13,2021-11-13
4597,70대,19425,823.0,2021-11-13,2021-11-13
4598,80대 이상,11076,1542.0,2021-11-13,2021-11-13
4599,10대 미만,23496,0.0,2021-11-12,2021-11-12
4600,10대,37576,0.0,2021-11-12,2021-11-12
4601,20대,71319,12.0,2021-11-12,2021-11-12
4602,30대,61736,25.0,2021-11-12,2021-11-12
4603,40대,61114,45.0,2021-11-12,2021-11-12
4604,50대,59861,185.0,2021-11-12,2021-11-12
4605,60대,45483,443.0,2021-11-12,2021-11-12
4606,70대,19193,817.0,2021-11-12,2021-11-12
4607,80대 이상,10941,1524.0,2021-11-12,2021-11-12
4608,10대 미만,23282,0.0,2021-11-11,2021-11-11
4609,10대,37282,0.0,2021-11-11,2021-11-11
4610,20대,71108,12.0,2021-11-11,2021-11-11
4611,30대,61429,25.0,2021-11-11,2021-11-11
4612,40대,60829,45.0,2021-11-11,2021-11-11
4613,50대,59582,185.0,2021-11-11,2021-11-11
4614,60대,45072,437.0,2021-11-11,2021-11-11
4615,70대,18974,810.0,2021-11-11,2021-11-11
4616,80대 이상,10793,1519.0,2021-11-11,2021-11-11
4617,10대 미만,23051,0.0,2021-11-10,2021-11-10
4618,10대,36957,0.0,2021-11-10,2021-11-10
4619,20대,70859,12.0,2021-11-10,2021-11-10
4620,30대,61090,25.0,2021-11-10,2021-11-10
4621,40대,60525,45.0,2021-11-10,2021-11-10
4622,50대,59313,184.0,2021-11-10,2021-11-10
4623,60대,44632,436.0,2021-11-10,2021-11-10
4624,70대,18749,806.0,2021-11-10,2021-11-10
4625,80대 이상,10655,1504.0,2021-11-10,2021-11-10
4626,10대 미만,22876,0.0,2021-11-09,2021-11-09
4627,10대,36644,0.0,2021-11-09,2021-11-09
4628,20대,70610,12.0,2021-11-09,2021-11-09
4629,30대,60781,25.0,2021-11-09,2021-11-09
4630,40대,60231,45.0,2021-11-09,2021-11-09
4631,50대,59011,183.0,2021-11-09,2021-11-09
4632,60대,44175,435.0,2021-11-09,2021-11-09
4633,70대,18530,800.0,2021-11-09,2021-11-09
4634,80대 이상,10549,1498.0,2021-11-09,2021-11-09
4635,10대 미만,22675,0.0,2021-11-08,2021-11-08
4636,10대,36400,0.0,2021-11-08,2021-11-08
4637,20대,70465,12.0,2021-11-08,2021-11-08
4638,30대,60557,25.0,2021-11-08,2021-11-08
4639,40대,60053,45.0,2021-11-08,2021-11-08
4640,50대,58785,183.0,2021-11-08,2021-11-08
4641,60대,43899,429.0,2021-11-08,2021-11-08
4642,70대,18398,795.0,2021-11-08,2021-11-08
4643,80대 이상,10462,1491.0,2021-11-08,2021-11-08
4644,10대 미만,22522,0.0,2021-11-07,2021-11-07
4645,10대,36160,0.0,2021-11-07,2021-11-07
4646,20대,70296,12.0,2021-11-07,2021-11-07
4647,30대,60335,25.0,2021-11-07,2021-11-07
4648,40대,59819,45.0,2021-11-07,2021-11-07
4649,50대,58587,183.0,2021-11-07,2021-11-07
4650,60대,43584,429.0,2021-11-07,2021-11-07
4651,70대,18265,793.0,2021-11-07,2021-11-07
4652,80대 이상,10367,1480.0,2021-11-07,2021-11-07
4653,10대 미만,22321,0.0,2021-11-06,2021-11-06
4654,10대,35892,0.0,2021-11-06,2021-11-06
4655,20대,70080,12.0,2021-11-06,2021-11-06
4656,30대,60042,25.0,2021-11-06,2021-11-06
4657,40대,59550,45.0,2021-11-06,2021-11-06
4658,50대,58325,183.0,2021-11-06,2021-11-06
4659,60대,43191,428.0,2021-11-06,2021-11-06
4660,70대,18090,792.0,2021-11-06,2021-11-06
4661,80대 이상,10221,1471.0,2021-11-06,2021-11-06
4662,10대 미만,22111,0.0,2021-11-05,2021-11-05
4663,10대,35598,0.0,2021-11-05,2021-11-05
4664,20대,69837,12.0,2021-11-05,2021-11-05
4665,30대,59723,25.0,2021-11-05,2021-11-05
4666,40대,59263,45.0,2021-11-05,2021-11-05
4667,50대,58091,182.0,2021-11-05,2021-11-05
4668,60대,42834,426.0,2021-11-05,2021-11-05
4669,70대,17901,788.0,2021-11-05,2021-11-05
4670,80대 이상,10106,1458.0,2021-11-05,2021-11-05
4671,10대 미만,21904,0.0,2021-11-04,2021-11-04
4672,10대,35263,0.0,2021-11-04,2021-11-04
4673,20대,69626,12.0,2021-11-04,2021-11-04
4674,30대,59395,25.0,2021-11-04,2021-11-04
4675,40대,58966,45.0,2021-11-04,2021-11-04
4676,50대,57827,181.0,2021-11-04,2021-11-04
4677,60대,42474,424.0,2021-11-04,2021-11-04
4678,70대,17698,781.0,2021-11-04,2021-11-04
4679,80대 이상,9967,1448.0,2021-11-04,2021-11-04
4680,10대 미만,21670,0.0,2021-11-03,2021-11-03
4681,10대,34942,0.0,2021-11-03,2021-11-03
4682,20대,69373,12.0,2021-11-03,2021-11-03
4683,30대,59042,25.0,2021-11-03,2021-11-03
4684,40대,58676,45.0,2021-11-03,2021-11-03
4685,50대,57530,181.0,2021-11-03,2021-11-03
4686,60대,42077,420.0,2021-11-03,2021-11-03
4687,70대,17497,778.0,2021-11-03,2021-11-03
4688,80대 이상,9833,1431.0,2021-11-03,2021-11-03
4689,10대 미만,21440,0.0,2021-11-02,2021-11-02
4690,10대,34510,0.0,2021-11-02,2021-11-02
4691,20대,69122,12.0,2021-11-02,2021-11-02
4692,30대,58653,25.0,2021-11-02,2021-11-02
4693,40대,58386,45.0,2021-11-02,2021-11-02
4694,50대,57216,181.0,2021-11-02,2021-11-02
4695,60대,41647,419.0,2021-11-02,2021-11-02
4696,70대,17318,772.0,2021-11-02,2021-11-02
4697,80대 이상,9682,1420.0,2021-11-02,2021-11-02
4698,10대 미만,21296,0.0,2021-11-01,2021-11-01
4699,10대,34267,0.0,2021-11-01,2021-11-01
4700,20대,68960,12.0,2021-11-01,2021-11-01
4701,30대,58459,25.0,2021-11-01,2021-11-01
4702,40대,58183,45.0,2021-11-01,2021-11-01
4703,50대,57050,181.0,2021-11-01,2021-11-01
4704,60대,41395,415.0,2021-11-01,2021-11-01
4705,70대,17198,771.0,2021-11-01,2021-11-01
4706,80대 이상,9578,1409.0,2021-11-01,2021-11-01
4707,10대 미만,21143,0.0,2021-10-31,2021-10-31
4708,10대,34041,0.0,2021-10-31,2021-10-31
4709,20대,68799,12.0,2021-10-31,2021-10-31
4710,30대,58222,25.0,2021-10-31,2021-10-31
4711,40대,57985,45.0,2021-10-31,2021-10-31
4712,50대,56857,181.0,2021-10-31,2021-10-31
4713,60대,41126,414.0,2021-10-31,2021-10-31
4714,70대,17071,767.0,2021-10-31,2021-10-31
4715,80대 이상,9456,1405.0,2021-10-31,2021-10-31
4716,10대 미만,20984,0.0,2021-10-30,2021-10-30
4717,10대,33775,0.0,2021-10-30,2021-10-30
4718,20대,68543,12.0,2021-10-30,2021-10-30
4719,30대,57934,25.0,2021-10-30,2021-10-30
4720,40대,57710,43.0,2021-10-30,2021-10-30
4721,50대,56631,181.0,2021-10-30,2021-10-30
4722,60대,40793,412.0,2021-10-30,2021-10-30
4723,70대,16926,766.0,2021-10-30,2021-10-30
4724,80대 이상,9343,1391.0,2021-10-30,2021-10-30
4725,10대 미만,20788,0.0,2021-10-29,2021-10-29
4726,10대,33504,0.0,2021-10-29,2021-10-29
4727,20대,68330,12.0,2021-10-29,2021-10-29
4728,30대,57639,25.0,2021-10-29,2021-10-29
4729,40대,57435,43.0,2021-10-29,2021-10-29
4730,50대,56385,181.0,2021-10-29,2021-10-29
4731,60대,40471,410.0,2021-10-29,2021-10-29
4732,70대,16756,760.0,2021-10-29,2021-10-29
4733,80대 이상,9228,1386.0,2021-10-29,2021-10-29
4734,10대 미만,20581,0.0,2021-10-28,2021-10-28
4735,10대,33203,0.0,2021-10-28,2021-10-28
4736,20대,68033,12.0,2021-10-28,2021-10-28
4737,30대,57320,24.0,2021-10-28,2021-10-28
4738,40대,57175,43.0,2021-10-28,2021-10-28
4739,50대,56163,181.0,2021-10-28,2021-10-28
4740,60대,40189,409.0,2021-10-28,2021-10-28
4741,70대,16607,758.0,2021-10-28,2021-10-28
4742,80대 이상,9141,1381.0,2021-10-28,2021-10-28
4743,10대 미만,20361,0.0,2021-10-27,2021-10-27
4744,10대,32878,0.0,2021-10-27,2021-10-27
4745,20대,67790,12.0,2021-10-27,2021-10-27
4746,30대,57010,24.0,2021-10-27,2021-10-27
4747,40대,56900,42.0,2021-10-27,2021-10-27
4748,50대,55939,180.0,2021-10-27,2021-10-27
4749,60대,39910,404.0,2021-10-27,2021-10-27
4750,70대,16475,756.0,2021-10-27,2021-10-27
4751,80대 이상,9042,1379.0,2021-10-27,2021-10-27
4752,10대 미만,20081,0.0,2021-10-25,2021-10-25
4753,10대,32334,0.0,2021-10-25,2021-10-25
4754,20대,67376,12.0,2021-10-25,2021-10-25
4755,30대,56510,24.0,2021-10-25,2021-10-25
4756,40대,56457,42.0,2021-10-25,2021-10-25
4757,50대,55648,176.0,2021-10-25,2021-10-25
4758,60대,39488,402.0,2021-10-25,2021-10-25
4759,70대,16281,752.0,2021-10-25,2021-10-25
4760,80대 이상,8914,1365.0,2021-10-25,2021-10-25
4761,10대 미만,19978,0.0,2021-10-24,2021-10-24
4762,10대,32133,0.0,2021-10-24,2021-10-24
4763,20대,67250,12.0,2021-10-24,2021-10-24
4764,30대,56330,24.0,2021-10-24,2021-10-24
4765,40대,56287,42.0,2021-10-24,2021-10-24
4766,50대,55514,174.0,2021-10-24,2021-10-24
4767,60대,39330,402.0,2021-10-24,2021-10-24
4768,70대,16207,750.0,2021-10-24,2021-10-24
4769,80대 이상,8870,1362.0,2021-10-24,2021-10-24
4770,10대 미만,19861,0.0,2021-10-23,2021-10-23
4771,10대,31907,0.0,2021-10-23,2021-10-23
4772,20대,67051,12.0,2021-10-23,2021-10-23
4773,30대,56104,24.0,2021-10-23,2021-10-23
4774,40대,56071,42.0,2021-10-23,2021-10-23
4775,50대,55381,170.0,2021-10-23,2021-10-23
4776,60대,39137,399.0,2021-10-23,2021-10-23
4777,70대,16134,744.0,2021-10-23,2021-10-23
4778,80대 이상,8830,1354.0,2021-10-23,2021-10-23
4779,10대 미만,19725,0.0,2021-10-22,2021-10-22
4780,10대,31686,0.0,2021-10-22,2021-10-22
4781,20대,66846,11.0,2021-10-22,2021-10-22
4782,30대,55851,23.0,2021-10-22,2021-10-22
4783,40대,55877,42.0,2021-10-22,2021-10-22
4784,50대,55232,168.0,2021-10-22,2021-10-22
4785,60대,38946,397.0,2021-10-22,2021-10-22
4786,70대,16050,736.0,2021-10-22,2021-10-22
4787,80대 이상,8756,1348.0,2021-10-22,2021-10-22
4788,10대 미만,19609,0.0,2021-10-21,2021-10-21
4789,10대,31476,0.0,2021-10-21,2021-10-21
4790,20대,66650,11.0,2021-10-21,2021-10-21
4791,30대,55598,23.0,2021-10-21,2021-10-21
4792,40대,55663,42.0,2021-10-21,2021-10-21
4793,50대,55091,167.0,2021-10-21,2021-10-21
4794,60대,38762,393.0,2021-10-21,2021-10-21
4795,70대,15976,733.0,2021-10-21,2021-10-21
4796,80대 이상,8704,1340.0,2021-10-21,2021-10-21
4797,10대 미만,19482,0.0,2021-10-20,2021-10-20
4798,10대,31275,0.0,2021-10-20,2021-10-20
4799,20대,66444,11.0,2021-10-20,2021-10-20
4800,30대,55341,23.0,2021-10-20,2021-10-20
4801,40대,55467,41.0,2021-10-20,2021-10-20
4802,50대,54929,167.0,2021-10-20,2021-10-20
4803,60대,38590,393.0,2021-10-20,2021-10-20
4804,70대,15901,729.0,2021-10-20,2021-10-20
4805,80대 이상,8659,1334.0,2021-10-20,2021-10-20
4806,10대 미만,19375,0.0,2021-10-19,2021-10-19
4807,10대,31025,0.0,2021-10-19,2021-10-19
4808,20대,66218,11.0,2021-10-19,2021-10-19
4809,30대,55076,22.0,2021-10-19,2021-10-19
4810,40대,55222,41.0,2021-10-19,2021-10-19
4811,50대,54784,167.0,2021-10-19,2021-10-19
4812,60대,38396,388.0,2021-10-19,2021-10-19
4813,70대,15825,727.0,2021-10-19,2021-10-19
4814,80대 이상,8597,1333.0,2021-10-19,2021-10-19
4815,10대 미만,19186,0.0,2021-10-17,2021-10-17
4816,10대,30751,0.0,2021-10-17,2021-10-17
4817,20대,65917,11.0,2021-10-17,2021-10-17
4818,30대,54734,22.0,2021-10-17,2021-10-17
4819,40대,54899,41.0,2021-10-17,2021-10-17
4820,50대,54518,165.0,2021-10-17,2021-10-17
4821,60대,38158,385.0,2021-10-17,2021-10-17
4822,70대,15716,720.0,2021-10-17,2021-10-17
4823,80대 이상,8517,1316.0,2021-10-17,2021-10-17
4824,10대 미만,19085,0.0,2021-10-16,2021-10-16
4825,10대,30594,0.0,2021-10-16,2021-10-16
4826,20대,65681,11.0,2021-10-16,2021-10-16
4827,30대,54500,21.0,2021-10-16,2021-10-16
4828,40대,54702,40.0,2021-10-16,2021-10-16
4829,50대,54360,164.0,2021-10-16,2021-10-16
4830,60대,37968,384.0,2021-10-16,2021-10-16
4831,70대,15620,715.0,2021-10-16,2021-10-16
4832,80대 이상,8468,1309.0,2021-10-16,2021-10-16
4833,10대 미만,18960,0.0,2021-10-15,2021-10-15
4834,10대,30408,0.0,2021-10-15,2021-10-15
4835,20대,65427,11.0,2021-10-15,2021-10-15
4836,30대,54227,21.0,2021-10-15,2021-10-15
4837,40대,54459,39.0,2021-10-15,2021-10-15
4838,50대,54157,163.0,2021-10-15,2021-10-15
4839,60대,37787,382.0,2021-10-15,2021-10-15
4840,70대,15543,707.0,2021-10-15,2021-10-15
4841,80대 이상,8393,1303.0,2021-10-15,2021-10-15
4842,10대 미만,18801,0.0,2021-10-14,2021-10-14
4843,10대,30204,0.0,2021-10-14,2021-10-14
4844,20대,65151,11.0,2021-10-14,2021-10-14
4845,30대,53941,21.0,2021-10-14,2021-10-14
4846,40대,54216,39.0,2021-10-14,2021-10-14
4847,50대,53983,162.0,2021-10-14,2021-10-14
4848,60대,37582,381.0,2021-10-14,2021-10-14
4849,70대,15458,705.0,2021-10-14,2021-10-14
4850,80대 이상,8343,1299.0,2021-10-14,2021-10-14
4851,10대 미만,18645,0.0,2021-10-13,2021-10-13
4852,10대,29958,0.0,2021-10-13,2021-10-13
4853,20대,64858,11.0,2021-10-13,2021-10-13
4854,30대,53607,21.0,2021-10-13,2021-10-13
4855,40대,53937,39.0,2021-10-13,2021-10-13
4856,50대,53779,162.0,2021-10-13,2021-10-13
4857,60대,37355,377.0,2021-10-13,2021-10-13
4858,70대,15330,703.0,2021-10-13,2021-10-13
4859,80대 이상,8273,1292.0,2021-10-13,2021-10-13
4860,10대 미만,18526,0.0,2021-10-12,2021-10-12
4861,10대,29760,0.0,2021-10-12,2021-10-12
4862,20대,64569,11.0,2021-10-12,2021-10-12
4863,30대,53336,21.0,2021-10-12,2021-10-12
4864,40대,53680,38.0,2021-10-12,2021-10-12
4865,50대,53606,160.0,2021-10-12,2021-10-12
4866,60대,37197,376.0,2021-10-12,2021-10-12
4867,70대,15253,698.0,2021-10-12,2021-10-12
4868,80대 이상,8236,1290.0,2021-10-12,2021-10-12
4869,10대 미만,18421,0.0,2021-10-11,2021-10-11
4870,10대,29572,0.0,2021-10-11,2021-10-11
4871,20대,64330,11.0,2021-10-11,2021-10-11
4872,30대,53085,21.0,2021-10-11,2021-10-11
4873,40대,53457,38.0,2021-10-11,2021-10-11
4874,50대,53466,160.0,2021-10-11,2021-10-11
4875,60대,37076,373.0,2021-10-11,2021-10-11
4876,70대,15210,696.0,2021-10-11,2021-10-11
4877,80대 이상,8199,1284.0,2021-10-11,2021-10-11
4878,10대 미만,18331,0.0,2021-10-10,2021-10-10
4879,10대,29411,0.0,2021-10-10,2021-10-10
4880,20대,64088,11.0,2021-10-10,2021-10-10
4881,30대,52861,21.0,2021-10-10,2021-10-10
4882,40대,53246,38.0,2021-10-10,2021-10-10
4883,50대,53315,158.0,2021-10-10,2021-10-10
4884,60대,36954,372.0,2021-10-10,2021-10-10
4885,70대,15146,694.0,2021-10-10,2021-10-10
4886,80대 이상,8167,1281.0,2021-10-10,2021-10-10
4887,10대 미만,18060,0.0,2021-10-08,2021-10-08
4888,10대,29022,0.0,2021-10-08,2021-10-08
4889,20대,63419,11.0,2021-10-08,2021-10-08
4890,30대,52240,21.0,2021-10-08,2021-10-08
4891,40대,52677,37.0,2021-10-08,2021-10-08
4892,50대,52911,158.0,2021-10-08,2021-10-08
4893,60대,36565,366.0,2021-10-08,2021-10-08
4894,70대,14995,689.0,2021-10-08,2021-10-08
4895,80대 이상,8087,1272.0,2021-10-08,2021-10-08
4896,10대 미만,17892,0.0,2021-10-07,2021-10-07
4897,10대,28796,0.0,2021-10-07,2021-10-07
4898,20대,62975,11.0,2021-10-07,2021-10-07
4899,30대,51858,21.0,2021-10-07,2021-10-07
4900,40대,52372,37.0,2021-10-07,2021-10-07
4901,50대,52658,157.0,2021-10-07,2021-10-07
4902,60대,36324,364.0,2021-10-07,2021-10-07
4903,70대,14901,686.0,2021-10-07,2021-10-07
4904,80대 이상,8028,1268.0,2021-10-07,2021-10-07
4905,10대 미만,17699,0.0,2021-10-06,2021-10-06
4906,10대,28531,0.0,2021-10-06,2021-10-06
4907,20대,62526,11.0,2021-10-06,2021-10-06
4908,30대,51423,21.0,2021-10-06,2021-10-06
4909,40대,51984,37.0,2021-10-06,2021-10-06
4910,50대,52377,156.0,2021-10-06,2021-10-06
4911,60대,36066,363.0,2021-10-06,2021-10-06
4912,70대,14796,683.0,2021-10-06,2021-10-06
4913,80대 이상,7977,1265.0,2021-10-06,2021-10-06
4914,10대 미만,17500,0.0,2021-10-04,2021-10-04
4915,10대,28124,0.0,2021-10-04,2021-10-04
4916,20대,61801,11.0,2021-10-04,2021-10-04
4917,30대,50720,20.0,2021-10-04,2021-10-04
4918,40대,51394,34.0,2021-10-04,2021-10-04
4919,50대,51948,155.0,2021-10-04,2021-10-04
4920,60대,35749,360.0,2021-10-04,2021-10-04
4921,70대,14651,678.0,2021-10-04,2021-10-04
4922,80대 이상,7890,1255.0,2021-10-04,2021-10-04
4923,10대 미만,17388,0.0,2021-10-03,2021-10-03
4924,10대,27936,0.0,2021-10-03,2021-10-03
4925,20대,61418,10.0,2021-10-03,2021-10-03
4926,30대,50444,20.0,2021-10-03,2021-10-03
4927,40대,51119,34.0,2021-10-03,2021-10-03
4928,50대,51758,155.0,2021-10-03,2021-10-03
4929,60대,35591,357.0,2021-10-03,2021-10-03
4930,70대,14594,677.0,2021-10-03,2021-10-03
4931,80대 이상,7857,1254.0,2021-10-03,2021-10-03
4932,10대 미만,17260,0.0,2021-10-02,2021-10-02
4933,10대,27717,0.0,2021-10-02,2021-10-02
4934,20대,60943,10.0,2021-10-02,2021-10-02
4935,30대,50050,20.0,2021-10-02,2021-10-02
4936,40대,50785,34.0,2021-10-02,2021-10-02
4937,50대,51536,154.0,2021-10-02,2021-10-02
4938,60대,35414,356.0,2021-10-02,2021-10-02
4939,70대,14511,677.0,2021-10-02,2021-10-02
4940,80대 이상,7804,1253.0,2021-10-02,2021-10-02
4941,10대 미만,17094,0.0,2021-10-01,2021-10-01
4942,10대,27475,0.0,2021-10-01,2021-10-01
4943,20대,60426,10.0,2021-10-01,2021-10-01
4944,30대,49652,19.0,2021-10-01,2021-10-01
4945,40대,50411,33.0,2021-10-01,2021-10-01
4946,50대,51315,154.0,2021-10-01,2021-10-01
4947,60대,35223,356.0,2021-10-01,2021-10-01
4948,70대,14410,676.0,2021-10-01,2021-10-01
4949,80대 이상,7767,1249.0,2021-10-01,2021-10-01
4950,10대 미만,16934,0.0,2021-09-30,2021-09-30
4951,10대,27188,0.0,2021-09-30,2021-09-30
4952,20대,59838,10.0,2021-09-30,2021-09-30
4953,30대,49207,19.0,2021-09-30,2021-09-30
4954,40대,50048,33.0,2021-09-30,2021-09-30
4955,50대,51035,154.0,2021-09-30,2021-09-30
4956,60대,35007,352.0,2021-09-30,2021-09-30
4957,70대,14323,671.0,2021-09-30,2021-09-30
4958,80대 이상,7709,1242.0,2021-09-30,2021-09-30
4959,10대 미만,16769,0.0,2021-09-29,2021-09-29
4960,10대,26910,0.0,2021-09-29,2021-09-29
4961,20대,59226,10.0,2021-09-29,2021-09-29
4962,30대,48722,19.0,2021-09-29,2021-09-29
4963,40대,49688,33.0,2021-09-29,2021-09-29
4964,50대,50752,154.0,2021-09-29,2021-09-29
4965,60대,34788,350.0,2021-09-29,2021-09-29
4966,70대,14230,668.0,2021-09-29,2021-09-29
4967,80대 이상,7640,1240.0,2021-09-29,2021-09-29
4968,10대 미만,16623,0.0,2021-09-28,2021-09-28
4969,10대,26624,0.0,2021-09-28,2021-09-28
4970,20대,58480,10.0,2021-09-28,2021-09-28
4971,30대,48166,19.0,2021-09-28,2021-09-28
4972,40대,49245,32.0,2021-09-28,2021-09-28
4973,50대,50445,151.0,2021-09-28,2021-09-28
4974,60대,34568,347.0,2021-09-28,2021-09-28
4975,70대,14107,667.0,2021-09-28,2021-09-28
4976,80대 이상,7584,1238.0,2021-09-28,2021-09-28
4977,10대 미만,16471,0.0,2021-09-27,2021-09-27
4978,10대,26384,0.0,2021-09-27,2021-09-27
4979,20대,57911,10.0,2021-09-27,2021-09-27
4980,30대,47737,17.0,2021-09-27,2021-09-27
4981,40대,48900,32.0,2021-09-27,2021-09-27
4982,50대,50222,151.0,2021-09-27,2021-09-27
4983,60대,34385,346.0,2021-09-27,2021-09-27
4984,70대,14012,666.0,2021-09-27,2021-09-27
4985,80대 이상,7531,1234.0,2021-09-27,2021-09-27
4986,10대 미만,16302,0.0,2021-09-26,2021-09-26
4987,10대,26163,0.0,2021-09-26,2021-09-26
4988,20대,57283,10.0,2021-09-26,2021-09-26
4989,30대,47291,17.0,2021-09-26,2021-09-26
4990,40대,48538,30.0,2021-09-26,2021-09-26
4991,50대,49975,151.0,2021-09-26,2021-09-26
4992,60대,34213,346.0,2021-09-26,2021-09-26
4993,70대,13929,664.0,2021-09-26,2021-09-26
4994,80대 이상,7478,1232.0,2021-09-26,2021-09-26
4995,10대 미만,15929,0.0,2021-09-24,2021-09-24
4996,10대,25614,0.0,2021-09-24,2021-09-24
4997,20대,55742,10.0,2021-09-24,2021-09-24
4998,30대,46093,15.0,2021-09-24,2021-09-24
4999,40대,47620,29.0,2021-09-24,2021-09-24
5000,50대,49335,147.0,2021-09-24,2021-09-24
5001,60대,33721,344.0,2021-09-24,2021-09-24
5002,70대,13720,663.0,2021-09-24,2021-09-24
5003,80대 이상,7358,1226.0,2021-09-24,2021-09-24
5004,10대 미만,15810,0.0,2021-09-23,2021-09-23
5005,10대,25392,0.0,2021-09-23,2021-09-23
5006,20대,55194,9.0,2021-09-23,2021-09-23
5007,30대,45648,15.0,2021-09-23,2021-09-23
5008,40대,47171,29.0,2021-09-23,2021-09-23
5009,50대,49013,147.0,2021-09-23,2021-09-23
5010,60대,33509,342.0,2021-09-23,2021-09-23
