,나이,확진자 수,사망자 수,날짜,날짜_dt
235,10대,3820087,22.0,2023-03-21,2023-03-21
236,20대,4473611,79.0,2023-03-21,2023-03-21
237,30대,4496461,160.0,2023-03-21,2023-03-21
238,40대,4679310,461.0,2023-03-21,2023-03-21
239,50대,4013024,1402.0,2023-03-21,2023-03-21
240,60대,3356134,3882.0,2023-03-21,2023-03-21
241,70대,1718639,7757.0,2023-03-21,2023-03-21
242,80대 이상,1048836,20378.0,2023-03-21,2023-03-21
243,10대 미만,3108141,37.0,2023-03-20,2023-03-20
244,10대,3817898,22.0,2023-03-20,2023-03-20
245,20대,4471764,79.0,2023-03-20,2023-03-20
246,30대,4494642,160.0,2023-03-20,2023-03-20
247,40대,4677563,461.0,2023-03-20,2023-03-20
248,50대,4011638,1400.0,2023-03-20,2023-03-20
249,60대,3355023,3882.0,2023-03-20,2023-03-20
250,70대,1717905,7757.0,2023-03-20,2023-03-20
251,80대 이상,1048386,20373.0,2023-03-20,2023-03-20
252,10대 미만,3107831,0.0,2023-03-20,2023-03-20
253,10대,3817181,0.0,2023-03-20,2023-03-20
254,20대,4471181,0.0,2023-03-20,2023-03-20
255,30대,4494062,0.0,2023-03-20,2023-03-20
256,40대,4677012,0.0,2023-03-20,2023-03-20
257,50대,4011176,0.0,2023-03-20,2023-03-20
258,60대,3354642,0.0,2023-03-20,2023-03-20
259,70대,1717714,0.0,2023-03-20,2023-03-20
260,80대 이상,1048231,0.0,2023-03-20,2023-03-20
261,10대 미만,3107311,37.0,2023-03-18,2023-03-18
262,10대,3815655,22.0,2023-03-18,2023-03-18
263,20대,4469903,79.0,2023-03-18,2023-03-18
264,30대,4492932,160.0,2023-03-18,2023-03-18
265,40대,4675808,461.0,2023-03-18,2023-03-18
266,50대,4010089,1400.0,2023-03-18,2023-03-18
267,60대,3353616,3880.0,2023-03-18,2023-03-18
268,70대,1717134,7755.0,2023-03-18,2023-03-18
269,80대 이상,1047775,20365.0,2023-03-18,2023-03-18
270,10대 미만,3106755,37.0,2023-03-17,2023-03-17
271,10대,3813956,22.0,2023-03-17,2023-03-17
272,20대,4468695,79.0,2023-03-17,2023-03-17
273,30대,4491742,160.0,2023-03-17,2023-03-17
274,40대,4674583,461.0,2023-03-17,2023-03-17
275,50대,4008955,1400.0,2023-03-17,2023-03-17
276,60대,3352633,3879.0,2023-03-17,2023-03-17
277,70대,1716553,7754.0,2023-03-17,2023-03-17
278,80대 이상,1047356,20363.0,2023-03-17,2023-03-17
279,10대 미만,3106165,37.0,2023-03-16,2023-03-16
280,10대,3812449,22.0,2023-03-16,2023-03-16
281,20대,4467420,79.0,2023-03-16,2023-03-16
282,30대,4490435,160.0,2023-03-16,2023-03-16
283,40대,4673320,461.0,2023-03-16,2023-03-16
284,50대,4007899,1400.0,2023-03-16,2023-03-16
285,60대,3351643,3878.0,2023-03-16,2023-03-16
286,70대,1715941,7751.0,2023-03-16,2023-03-16
287,80대 이상,1046891,20360.0,2023-03-16,2023-03-16
288,10대 미만,3105519,37.0,2023-03-15,2023-03-15
289,10대,3810717,22.0,2023-03-15,2023-03-15
290,20대,4465917,79.0,2023-03-15,2023-03-15
291,30대,4489022,160.0,2023-03-15,2023-03-15
292,40대,4671986,460.0,2023-03-15,2023-03-15
293,50대,4006650,1399.0,2023-03-15,2023-03-15
294,60대,3350627,3878.0,2023-03-15,2023-03-15
295,70대,1715302,7744.0,2023-03-15,2023-03-15
296,80대 이상,1046489,20352.0,2023-03-15,2023-03-15
297,10대 미만,3104770,37.0,2023-03-14,2023-03-14
298,10대,3808637,22.0,2023-03-14,2023-03-14
299,20대,4464150,79.0,2023-03-14,2023-03-14
300,30대,4487341,160.0,2023-03-14,2023-03-14
301,40대,4670394,460.0,2023-03-14,2023-03-14
302,50대,4005272,1399.0,2023-03-14,2023-03-14
303,60대,3349343,3878.0,2023-03-14,2023-03-14
304,70대,1714527,7740.0,2023-03-14,2023-03-14
305,80대 이상,1045896,20346.0,2023-03-14,2023-03-14
306,10대 미만,3104036,37.0,2023-03-13,2023-03-13
307,10대,3806541,22.0,2023-03-13,2023-03-13
308,20대,4462449,79.0,2023-03-13,2023-03-13
309,30대,4485528,160.0,2023-03-13,2023-03-13
310,40대,4668771,460.0,2023-03-13,2023-03-13
311,50대,4003961,1399.0,2023-03-13,2023-03-13
312,60대,3348316,3878.0,2023-03-13,2023-03-13
313,70대,1713827,7740.0,2023-03-13,2023-03-13
314,80대 이상,1045500,20340.0,2023-03-13,2023-03-13
315,10대 미만,3103688,0.0,2023-03-13,2023-03-13
316,10대,3805810,0.0,2023-03-13,2023-03-13
317,20대,4461825,0.0,2023-03-13,2023-03-13
318,30대,4484916,0.0,2023-03-13,2023-03-13
319,40대,4668163,0.0,2023-03-13,2023-03-13
320,50대,4003482,0.0,2023-03-13,2023-03-13
321,60대,3347928,0.0,2023-03-13,2023-03-13
322,70대,1713589,0.0,2023-03-13,2023-03-13
323,80대 이상,1045330,0.0,2023-03-13,2023-03-13
324,10대 미만,3103098,37.0,2023-03-11,2023-03-11
325,10대,3804285,22.0,2023-03-11,2023-03-11
326,20대,4460442,79.0,2023-03-11,2023-03-11
327,30대,4483714,160.0,2023-03-11,2023-03-11
328,40대,4666890,460.0,2023-03-11,2023-03-11
329,50대,4002286,1399.0,2023-03-11,2023-03-11
330,60대,3346872,3877.0,2023-03-11,2023-03-11
331,70대,1712936,7734.0,2023-03-11,2023-03-11
332,80대 이상,1044866,20328.0,2023-03-11,2023-03-11
333,10대 미만,3102495,37.0,2023-03-10,2023-03-10
334,10대,3802697,22.0,2023-03-10,2023-03-10
335,20대,4459010,79.0,2023-03-10,2023-03-10
336,30대,4482400,160.0,2023-03-10,2023-03-10
337,40대,4665558,459.0,2023-03-10,2023-03-10
338,50대,4001037,1399.0,2023-03-10,2023-03-10
339,60대,3345674,3877.0,2023-03-10,2023-03-10
340,70대,1712269,7734.0,2023-03-10,2023-03-10
341,80대 이상,1044382,20326.0,2023-03-10,2023-03-10
342,10대 미만,3101848,37.0,2023-03-09,2023-03-09
343,10대,3801114,22.0,2023-03-09,2023-03-09
344,20대,4457445,79.0,2023-03-09,2023-03-09
345,30대,4480958,160.0,2023-03-09,2023-03-09
346,40대,4664166,459.0,2023-03-09,2023-03-09
347,50대,3999687,1398.0,2023-03-09,2023-03-09
348,60대,3344549,3875.0,2023-03-09,2023-03-09
349,70대,1711534,7731.0,2023-03-09,2023-03-09
350,80대 이상,1043886,20320.0,2023-03-09,2023-03-09
351,10대 미만,3101237,37.0,2023-03-08,2023-03-08
352,10대,3799658,22.0,2023-03-08,2023-03-08
353,20대,4455791,79.0,2023-03-08,2023-03-08
354,30대,4479304,160.0,2023-03-08,2023-03-08
355,40대,4662722,459.0,2023-03-08,2023-03-08
356,50대,3998238,1396.0,2023-03-08,2023-03-08
357,60대,3343233,3872.0,2023-03-08,2023-03-08
358,70대,1710778,7727.0,2023-03-08,2023-03-08
359,80대 이상,1043336,20309.0,2023-03-08,2023-03-08
360,10대 미만,3100549,37.0,2023-03-07,2023-03-07
361,10대,3798002,22.0,2023-03-07,2023-03-07
362,20대,4453907,79.0,2023-03-07,2023-03-07
363,30대,4477349,160.0,2023-03-07,2023-03-07
364,40대,4660969,459.0,2023-03-07,2023-03-07
365,50대,3996555,1394.0,2023-03-07,2023-03-07
366,60대,3341652,3870.0,2023-03-07,2023-03-07
367,70대,1709875,7726.0,2023-03-07,2023-03-07
368,80대 이상,1042641,20302.0,2023-03-07,2023-03-07
369,10대 미만,3099879,37.0,2023-03-06,2023-03-06
370,10대,3796543,22.0,2023-03-06,2023-03-06
371,20대,4452028,79.0,2023-03-06,2023-03-06
372,30대,4475376,159.0,2023-03-06,2023-03-06
373,40대,4659157,459.0,2023-03-06,2023-03-06
374,50대,3994899,1392.0,2023-03-06,2023-03-06
375,60대,3340225,3867.0,2023-03-06,2023-03-06
376,70대,1708997,7722.0,2023-03-06,2023-03-06
377,80대 이상,1042111,20297.0,2023-03-06,2023-03-06
378,10대 미만,3099064,37.0,2023-03-04,2023-03-04
379,10대,3794980,22.0,2023-03-04,2023-03-04
380,20대,4449945,79.0,2023-03-04,2023-03-04
381,30대,4473253,159.0,2023-03-04,2023-03-04
382,40대,4657085,459.0,2023-03-04,2023-03-04
383,50대,3993011,1391.0,2023-03-04,2023-03-04
384,60대,3338458,3864.0,2023-03-04,2023-03-04
385,70대,1707949,7720.0,2023-03-04,2023-03-04
386,80대 이상,1041357,20289.0,2023-03-04,2023-03-04
387,10대 미만,3098532,37.0,2023-03-03,2023-03-03
388,10대,3793918,22.0,2023-03-03,2023-03-03
389,20대,4448236,79.0,2023-03-03,2023-03-03
390,30대,4471569,158.0,2023-03-03,2023-03-03
391,40대,4655577,459.0,2023-03-03,2023-03-03
392,50대,3991457,1391.0,2023-03-03,2023-03-03
393,60대,3336958,3864.0,2023-03-03,2023-03-03
394,70대,1707023,7718.0,2023-03-03,2023-03-03
395,80대 이상,1040711,20286.0,2023-03-03,2023-03-03
396,10대 미만,3098028,37.0,2023-03-02,2023-03-02
397,10대,3792987,22.0,2023-03-02,2023-03-02
398,20대,4446613,79.0,2023-03-02,2023-03-02
399,30대,4469864,158.0,2023-03-02,2023-03-02
400,40대,4653966,459.0,2023-03-02,2023-03-02
401,50대,3990006,1390.0,2023-03-02,2023-03-02
402,60대,3335668,3863.0,2023-03-02,2023-03-02
403,70대,1706207,7715.0,2023-03-02,2023-03-02
404,80대 이상,1040234,20280.0,2023-03-02,2023-03-02
405,10대 미만,3097581,37.0,2023-03-01,2023-03-01
406,10대,3792180,22.0,2023-03-01,2023-03-01
407,20대,4445456,79.0,2023-03-01,2023-03-01
408,30대,4468670,158.0,2023-03-01,2023-03-01
409,40대,4652869,459.0,2023-03-01,2023-03-01
410,50대,3989003,1388.0,2023-03-01,2023-03-01
411,60대,3334778,3862.0,2023-03-01,2023-03-01
412,70대,1705656,7713.0,2023-03-01,2023-03-01
413,80대 이상,1039819,20270.0,2023-03-01,2023-03-01
414,10대 미만,3097010,37.0,2023-02-28,2023-02-28
415,10대,3791086,22.0,2023-02-28,2023-02-28
416,20대,4443583,79.0,2023-02-28,2023-02-28
417,30대,4466779,158.0,2023-02-28,2023-02-28
418,40대,4651103,459.0,2023-02-28,2023-02-28
419,50대,3987298,1388.0,2023-02-28,2023-02-28
420,60대,3333234,3859.0,2023-02-28,2023-02-28
421,70대,1704645,7712.0,2023-02-28,2023-02-28
422,80대 이상,1038983,20263.0,2023-02-28,2023-02-28
423,10대 미만,3096527,37.0,2023-02-27,2023-02-27
424,10대,3790192,22.0,2023-02-27,2023-02-27
425,20대,4441934,79.0,2023-02-27,2023-02-27
426,30대,4464922,158.0,2023-02-27,2023-02-27
427,40대,4649378,459.0,2023-02-27,2023-02-27
428,50대,3985715,1386.0,2023-02-27,2023-02-27
429,60대,3331898,3857.0,2023-02-27,2023-02-27
430,70대,1703856,7708.0,2023-02-27,2023-02-27
431,80대 이상,1038482,20255.0,2023-02-27,2023-02-27
432,10대 미만,3095771,37.0,2023-02-25,2023-02-25
433,10대,3789072,22.0,2023-02-25,2023-02-25
434,20대,4440083,79.0,2023-02-25,2023-02-25
435,30대,4462892,158.0,2023-02-25,2023-02-25
436,40대,4647338,459.0,2023-02-25,2023-02-25
437,50대,3983868,1386.0,2023-02-25,2023-02-25
438,60대,3330102,3852.0,2023-02-25,2023-02-25
439,70대,1702828,7701.0,2023-02-25,2023-02-25
440,80대 이상,1037712,20246.0,2023-02-25,2023-02-25
441,10대 미만,3095275,37.0,2023-02-24,2023-02-24
442,10대,3788270,22.0,2023-02-24,2023-02-24
443,20대,4438644,79.0,2023-02-24,2023-02-24
444,30대,4461372,158.0,2023-02-24,2023-02-24
445,40대,4645971,459.0,2023-02-24,2023-02-24
446,50대,3982444,1385.0,2023-02-24,2023-02-24
447,60대,3328764,3850.0,2023-02-24,2023-02-24
448,70대,1701938,7697.0,2023-02-24,2023-02-24
449,80대 이상,1037075,20242.0,2023-02-24,2023-02-24
450,10대 미만,3094729,37.0,2023-02-23,2023-02-23
451,10대,3787445,22.0,2023-02-23,2023-02-23
452,20대,4437122,79.0,2023-02-23,2023-02-23
453,30대,4459799,158.0,2023-02-23,2023-02-23
454,40대,4644488,459.0,2023-02-23,2023-02-23
455,50대,3981091,1384.0,2023-02-23,2023-02-23
456,60대,3327413,3849.0,2023-02-23,2023-02-23
457,70대,1701112,7693.0,2023-02-23,2023-02-23
458,80대 이상,1036503,20228.0,2023-02-23,2023-02-23
459,10대 미만,3094103,37.0,2023-02-22,2023-02-22
460,10대,3786493,22.0,2023-02-22,2023-02-22
461,20대,4435504,79.0,2023-02-22,2023-02-22
462,30대,4458027,158.0,2023-02-22,2023-02-22
463,40대,4642886,459.0,2023-02-22,2023-02-22
464,50대,3979679,1384.0,2023-02-22,2023-02-22
465,60대,3326012,3848.0,2023-02-22,2023-02-22
466,70대,1700224,7685.0,2023-02-22,2023-02-22
467,80대 이상,1035929,20215.0,2023-02-22,2023-02-22
468,10대 미만,3093419,37.0,2023-02-21,2023-02-21
469,10대,3785480,22.0,2023-02-21,2023-02-21
470,20대,4433563,79.0,2023-02-21,2023-02-21
471,30대,4455982,158.0,2023-02-21,2023-02-21
472,40대,4640941,459.0,2023-02-21,2023-02-21
473,50대,3977936,1383.0,2023-02-21,2023-02-21
474,60대,3324271,3847.0,2023-02-21,2023-02-21
475,70대,1699123,7683.0,2023-02-21,2023-02-21
476,80대 이상,1035060,20205.0,2023-02-21,2023-02-21
477,10대 미만,3092787,37.0,2023-02-20,2023-02-20
478,10대,3784556,22.0,2023-02-20,2023-02-20
479,20대,4431857,79.0,2023-02-20,2023-02-20
480,30대,4453937,158.0,2023-02-20,2023-02-20
481,40대,4639041,459.0,2023-02-20,2023-02-20
482,50대,3976178,1381.0,2023-02-20,2023-02-20
483,60대,3322872,3847.0,2023-02-20,2023-02-20
484,70대,1698161,7679.0,2023-02-20,2023-02-20
485,80대 이상,1034506,20203.0,2023-02-20,2023-02-20
486,10대 미만,3092463,37.0,2023-02-19,2023-02-19
487,10대,3784161,22.0,2023-02-19,2023-02-19
488,20대,4431267,79.0,2023-02-19,2023-02-19
489,30대,4453144,158.0,2023-02-19,2023-02-19
490,40대,4638363,459.0,2023-02-19,2023-02-19
491,50대,3975636,1379.0,2023-02-19,2023-02-19
492,60대,3322351,3846.0,2023-02-19,2023-02-19
493,70대,1697887,7677.0,2023-02-19,2023-02-19
494,80대 이상,1034299,20199.0,2023-02-19,2023-02-19
